"Unique ID";"EU Member";"Nation";"Position";"Age";"Name";"Club";"Best Rating";"Best Pot Rating";"PoD";"Value";"Wage";"GK Rating";"DC Rating";"DR Rating";"DL Rating";"DM Rating";"MC Rating";"AMC Rating";"AMR Rating";"AML Rating";"FS Rating";"TS Rating";"GK Pot Rating";"DR Pot Rating";"DC Pot Rating";"DL Pot Rating";"DM Pot Rating";"MC Pot Rating";"AMR Pot Rating";"AMC Pot Rating";"AML Pot Rating";"FS Pot Rating";"TS Pot Rating"
"19095247";"No";"Brazil";"D/WB/M R";"31";"Aderlan";"RB Bragantino";"78.2% (FB)";"79.4% (FB)";"1%";"300.000.000";"150";"43.95%";"59.65%";"78.15%";"62.52%";"59.35%";"59.54%";"58.40%";"71.54%";"63.27%";"55.74%";"55.37%";"44.67%";"79.44%";"60.66%";"63.56%";"60.57%";"60.70%";"72.72%";"59.33%";"64.31%";"56.60%";"56.24%"
"19076427";"No";"Brazil";"D C";"33";"Aderllan Santos";"Rio Ave";"71.9% (CB)";"72.1% (CB)";"0%";"300.000.000";"3.230";"41.68%";"71.93%";"56.92%";"56.92%";"54.88%";"54.09%";"52.65%";"55.62%";"55.62%";"50.99%";"51.97%";"41.80%";"57.03%";"72.07%";"57.03%";"54.88%";"54.09%";"55.74%";"52.76%";"55.74%";"51.11%";"52.09%"
"18101866";"Yes";"Belgium / Nigeria";"D C";"21";"Adewoye, Shawn";"RKC Waalwijk";"70.3% (CB)";"75.6% (CB)";"55%";"2.952.800";"1.230";"41.73%";"70.32%";"68.36%";"56.62%";"64.68%";"54.61%";"53.16%";"56.24%";"56.24%";"50.94%";"51.64%";"45.08%";"73.40%";"75.64%";"60.79%";"68.96%";"58.07%";"60.42%";"57.04%";"60.42%";"54.64%";"55.35%"
"16279486";"Yes";"Germany / Nigeria";"AM RL, ST";"20";"Adeyemi, Karim";"Borussia Dortmund";"77.2% (W)";"82.7% (W)";"63%";"40.520.130";"99.200";"42.31%";"57.70%";"62.02%";"62.02%";"57.76%";"60.32%";"60.96%";"77.20%";"77.20%";"75.39%";"73.94%";"45.81%";"66.45%";"62.06%";"66.45%";"62.23%";"64.48%";"82.66%";"65.03%";"82.66%";"80.21%";"78.78%"
"49037698";"Yes";"France / Morocco";"AM LC";"22";"Adli, Amine";"Bayer Leverkusen";"80.1% (AM)";"82.9% (W)";"66%";"4.375.290";"19.840";"45.88%";"61.14%";"63.67%";"63.67%";"62.44%";"77.67%";"80.10%";"79.29%";"80.07%";"76.01%";"74.85%";"47.48%";"66.00%";"63.46%";"66.00%";"64.97%";"80.63%";"82.14%";"82.80%";"82.94%";"78.45%";"77.32%"
"48044568";"Yes";"France / Algeria";"AM C";"21";"Adli, Yacine";"Milan";"75.7% (AM)";"81.4% (M)";"53%";"5.470.220";"17.080";"45.28%";"59.50%";"62.25%";"62.25%";"61.25%";"75.52%";"75.73%";"72.33%";"75.52%";"58.97%";"58.19%";"48.68%";"66.97%";"64.13%";"66.97%";"66.16%";"81.43%";"77.87%";"81.25%";"81.30%";"63.09%";"62.29%"
"43459075";"Yes";"France";"DM";"21";"Adopo, Michel Ndary";"Atalanta";"74.6% (M)";"81.9% (M)";"43%";"2.044.970";"4.250";"45.26%";"59.28%";"61.42%";"61.42%";"73.94%";"74.65%";"59.19%";"61.41%";"61.41%";"56.42%";"56.34%";"49.60%";"67.15%";"65.07%";"67.15%";"81.37%";"81.85%";"67.23%";"64.55%";"67.23%";"61.50%";"61.43%"
"19380453";"No";"Brazil";"DM";"22";"Adriano";"Santa Clara";"73.3% (DM)";"79.9% (DM)";"41%";"861.940";"1.290";"42.15%";"58.74%";"60.10%";"60.10%";"73.27%";"73.20%";"57.26%";"59.58%";"59.58%";"54.96%";"54.51%";"46.37%";"65.47%";"64.19%";"65.47%";"79.89%";"79.66%";"65.04%";"62.37%";"65.04%";"59.84%";"59.41%"
"19381250";"No";"Brazil";"GK";"21";"Adriel";"Bahia";"67.7% (GK)";"74.9% (GK)";"30%";"432.970";"300";"67.72%";"46.32%";"42.92%";"42.92%";"42.43%";"42.45%";"41.34%";"42.18%";"42.18%";"39.87%";"42.05%";"74.91%";"46.95%";"50.57%";"46.95%";"46.47%";"46.45%";"46.22%";"45.32%";"46.22%";"43.49%";"45.62%"
"19250021";"No";"Brazil";"D C";"24";"Adryelson";"Botafogo";"75.5% (CB)";"78.1% (CB)";"50%";"3.978.590";"3.640";"44.73%";"75.49%";"61.06%";"61.06%";"58.18%";"58.08%";"56.41%";"60.58%";"60.58%";"54.12%";"54.71%";"46.38%";"63.07%";"78.08%";"63.07%";"59.91%";"59.75%";"62.60%";"58.29%";"62.60%";"55.92%";"56.49%"
"19380038";"No";"Brazil";"AM RLC";"21";"Adson";"Nantes";"70.7% (W)";"77.7% (W)";"40%";"2.588.120";"3.080";"40.37%";"51.95%";"56.13%";"56.13%";"54.40%";"67.71%";"69.13%";"69.30%";"70.66%";"66.18%";"64.04%";"44.37%";"61.60%";"57.34%";"61.60%";"59.85%";"74.07%";"76.20%";"75.45%";"77.69%";"72.02%";"69.88%"
"77012161";"No";"Peru";"D/WB/M R";"32";"Advíncula, Luis";"Boca";"78.8% (FB)";"79.1% (FB)";"100%";"300.000.000";"2.720";"45.24%";"59.23%";"78.83%";"75.18%";"57.97%";"70.26%";"58.40%";"76.91%";"76.91%";"55.69%";"55.62%";"45.34%";"79.13%";"59.48%";"75.47%";"58.50%";"70.87%";"77.20%";"58.57%";"77.20%";"55.85%";"55.78%"
"98040986";"No";"Switzerland";"DM, M RC";"25";"Aebischer, Michel";"Bologna";"77.1% (W)";"79.0% (W)";"100%";"3.196.760";"10.610";"44.04%";"59.77%";"62.86%";"62.86%";"76.05%";"76.85%";"73.09%";"76.77%";"75.95%";"58.50%";"57.73%";"45.10%";"64.35%";"61.18%";"64.35%";"77.74%";"78.53%";"78.61%";"74.79%";"77.78%";"59.85%";"59.05%"
"2000020333";"Yes";"Netherlands";"D C, DM";"17";"Aertssen, Olivier";"Ajax";"68.1% (CB)";"85.1% (CB)";"26%";"3.922.690";"3.450";"41.46%";"68.07%";"55.49%";"55.49%";"66.72%";"65.35%";"52.16%";"55.17%";"55.17%";"50.53%";"50.63%";"51.62%";"68.98%";"85.08%";"68.98%";"82.90%";"80.81%";"68.83%";"64.75%";"68.83%";"62.60%";"62.67%"
"2000096580";"No";"Ghana";"AM L, ST";"19";"Afena-Gyan, Felix";"Cremonese";"71.7% (W)";"71.9% (W)";"100%";"5.483.700";"1.160";"42.87%";"54.82%";"57.83%";"57.83%";"54.64%";"57.16%";"57.54%";"70.02%";"71.71%";"70.42%";"69.97%";"42.99%";"57.94%";"54.94%";"57.94%";"54.64%";"57.16%";"70.16%";"57.65%";"71.85%";"70.57%";"70.11%"
"12078577";"No";"Ivory Coast";"D RC, DM";"25";"Agbadou, Emmanuel";"Stade de Reims";"78.2% (FB)";"79.4% (FB)";"100%";"4.506.110";"9.710";"45.64%";"76.91%";"78.19%";"62.77%";"72.85%";"58.78%";"57.58%";"61.30%";"61.30%";"55.33%";"56.72%";"46.34%";"79.45%";"78.13%";"63.78%";"73.90%";"59.64%";"62.33%";"58.53%";"62.33%";"56.25%";"57.64%"
"67277830";"Yes";"Spain / Basque Country";"GK";"21";"Agirrezabala, Julen";"Athletic Bilbao";"70.5% (GK)";"78.4% (GK)";"33%";"7.647.100";"7.010";"70.46%";"46.40%";"43.69%";"43.69%";"43.86%";"44.16%";"42.68%";"43.84%";"43.84%";"39.52%";"40.69%";"78.35%";"48.25%";"51.28%";"48.25%";"48.09%";"48.31%";"48.33%";"47.08%";"48.33%";"43.59%";"44.85%"
"2000046135";"Yes";"Netherlands / Morocco";"D LC, DM";"16";"Agougil, Oualid";"Ajax";"64.2% (FB)";"79.0% (CB)";"24%";"2.250.160";"370";"38.54%";"64.07%";"52.33%";"64.15%";"63.96%";"50.56%";"49.25%";"52.00%";"52.00%";"47.66%";"47.19%";"47.61%";"64.29%";"79.01%";"78.81%";"78.28%";"61.79%";"64.14%";"60.30%";"64.14%";"58.25%";"57.84%"
"49048461";"Yes";"France / Cameroon";"DM, AM C";"20";"Agoume, Lucien";"Inter";"72.2% (M)";"79.3% (M)";"46%";"3.348.510";"6.130";"42.54%";"56.66%";"59.35%";"59.35%";"72.08%";"72.25%";"68.22%";"58.56%";"58.56%";"53.94%";"53.91%";"47.98%";"66.33%";"63.56%";"66.33%";"79.26%";"79.31%";"65.73%";"76.42%";"65.73%";"60.32%";"60.25%"
"29222631";"No";"Morocco";"D C";"24";"Agouzoul, Saad";"Auxerre";"70.8% (CB)";"74.1% (CB)";"45%";"493.350";"590";"42.67%";"70.81%";"56.37%";"56.37%";"53.23%";"52.28%";"51.03%";"54.26%";"54.26%";"48.71%";"49.55%";"44.60%";"58.91%";"74.05%";"58.91%";"55.73%";"54.71%";"56.78%";"53.34%";"56.78%";"50.90%";"51.76%"
"55021884";"Yes";"Portugal";"AM RLC";"30";"Agra, Salvador";"Boavista";"76.5% (W)";"80.0% (W)";"4%";"1.306.560";"1.810";"43.03%";"55.53%";"59.43%";"59.43%";"57.59%";"59.40%";"73.44%";"76.46%";"76.20%";"70.25%";"69.13%";"44.97%";"62.19%";"58.22%";"62.19%";"60.39%";"62.11%";"79.99%";"76.59%";"79.71%";"73.19%";"72.06%"
"92098106";"Yes";"Germany / Nigeria";"D/WB RL";"22";"Agu, Felix";"Werder Bremen";"77.2% (WB)";"84.7% (WB)";"46%";"2.031.240";"11.200";"41.52%";"68.22%";"77.22%";"76.68%";"57.75%";"58.27%";"56.41%";"72.94%";"61.19%";"55.12%";"54.44%";"46.36%";"84.64%";"75.25%";"84.05%";"62.32%";"62.71%";"80.24%";"62.07%";"67.31%";"60.59%";"59.89%"
"13199286";"No";"Morocco";"D C";"26";"Aguerd, Nayef";"West Ham";"77.5% (CB)";"78.3% (CB)";"100%";"31.520.000";"65.000";"46.07%";"77.51%";"60.43%";"73.36%";"68.57%";"57.48%";"56.34%";"59.92%";"59.92%";"54.19%";"55.35%";"46.59%";"60.92%";"78.29%";"73.95%";"69.05%";"57.83%";"60.42%";"56.76%";"60.42%";"54.58%";"55.76%"
