Rgn;Half;Date;UID;EU;Nat;Interested;P1;P2;Rt1;Pt1;RtG;PtG;Position;Age;Name;Av_Rat;Club;Division;Based;Apps;Starts;Gls;Ast;PoM;Mins;GK%;DFg%;DFa%;xGP/90;CS/90;Gls_Conc/90;Hdrs_W/90;Hd%;Blocks/90;Intcp/90;Clear/90;Press_C/90;PAS%;OP-KP/90;CCC/90;Pr_Pas/90;xA/90;Pas_C/90;Ps%;DRB%;ST%;Drb/90;Cr_C/90;Cr%;NP-xG/90;Gls/90;NP-xG/Shot;Sht_T/90;Sprints/90;Fls_Ag/90;Value;Wage;Expires;Det;Prof;Amb;Acc;Pac;Height;Personality;GK%t;DFg%t;DFa%t;PAS%t;DRB%t;ST%t;Mins_t
EU;Mid;30/11/2023;215665;Yes;NED;1;AM;CM;61,5;0,0;76,8;78,5;M/AM (C);25;Michel Vlap;6,85;Twente;Eredivisie;Netherlands;98;98;16;14;4;4018;0,685;6,35;9,324;0,0;0,0;0,0;2,67;30;0,4;1,16;0,74;4,05;4,572;1,32;0,38;1,88;0,16;26,36;83;3,95222;1,464;1,1;0,22;40;0,26;0,18;0,116;0,83;10,19;1,1;4300000;43500;30/06/2025;12_15;12;14;9_13;12_15;189;;0,685;6,35;9,02;3,74;3,55222;1,39;8036
EU;Mid;30/11/2023;216444;Yes;CUW;1;RB;CB;56,8;0,0;71,1;73,5;D/WB (R);29;Juriën Gaari;6,53;RKC Waalwijk;Eredivisie;Netherlands;28;18;0;0;0;928;0,653;8,15;13,411;0,0;0,0;0,0;4,56;70;0,29;3,01;0,78;4,07;5,198;0,39;0,0;3,88;0,1;39,67;83;6,19967;0,31;1,84;0,58;13;0,16;0,0;0,15;0,0;17,07;1,75;135000;5500;30/06/2024;9_12;8;11;12_16;12_16;181;;0,653;8,15;12,71;4,37;6,06667;0,31;1856
EU;Mid;30/11/2023;222724;No;ENG;1;ST;AM;71,0;0,0;76,9;85,2;AM (C), ST (C);21;Joe Gelhardt;6,58;Leeds;Premier League;England;24;0;2;0;0;187;0,658;4,81;7,428;0,0;0,0;0,0;2,41;21;0,0;0,48;0,0;4,33;3,028;0,96;0,0;0,96;0,28;23,1;83;2,18889;2,847;0,96;0,0;0;0,2;0,48;0,07;1,93;6,74;0,48;21500000;126000;30/06/2027;15_18;12;14;14;13;176;;0,658;4,81;7,22;2,2;2,18889;2,68;374
RW;End;30/11/2023;223637;No;BRA;1;LB;RW;66,2;0,0;74,3;82,0;D/WB (L);20;Riquelme;7,08;Vasco da Gama;Brasileirão Assaí;Brazil;5;1;0;1;1;177;0,708;7,63;11,968;0,0;0,0;0,0;3,56;78;0,51;2,54;1,02;3,56;7,523;1,02;0,0;5,59;0,04;45,25;87;5,81111;0,0;2,03;0,0;0;0,0;0,0;0,0;0,0;15,76;2,03;4300000;5750;31/12/2026;14_18;10;10;13_17;13_18;173;;0,708;7,63;11,19;6,65;5,81111;0,0;177
EU;Mid;30/11/2023;253311;Yes;ESP;1;RB;CB;57,4;0,0;71,9;79,2;D (RC), WB (R);20;Trilli;6,43;Barcelona;LaLiga;Spain;8;0;0;0;0;116;0,643;7,77;12,206;0,0;0,0;0,0;3,88;56;0,78;3,88;2,33;0,78;6,19;0,78;0,0;4,66;0,0;32,59;75;6,02667;0,0;1,55;1,55;25;0,0;0,0;0,0;0,0;17,07;0,78;2000000;1300;30/06/2025;10_16;12;14;10_14;8_12;184;;0,643;7,77;11,65;5,44;5,77667;0,0;232
RW;End;30/11/2023;303204;Yes;BRA;1;GK;CB;67,4;0,0;74,3;74,5;GK;42;Fábio;6,89;Fluminense;Brasileirão Assaí;Brazil;24;24;0;0;3;2063;0,919;0,0;0,0;0,31;0,57;0,65;0,0;0;0,0;0,0;0,0;0,0;0,58;0,04;0,0;0,0;0,0;15,05;54;0,7;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,7;348000000;39000;31/12/2025;17_20;16;10;10_13;9_12;188;;0,919;0,0;0,0;0,04;0,7;0,0;2063
EU;Mid;30/11/2023;309147;Yes;POR;0;CB;DM;84,5;0,0;81,5;81,5;D (C);40;Pepe;7,08;Porto;Liga bwin;Portugal;88;86;2;4;0;3366;0,708;5,4;12,434;0,0;0,0;0,0;6,36;67;0,4;2,46;0,94;1,6;5,439;0,19;0,03;4,25;0,05;62,65;92;1,09444;0,499;0,24;0,0;0;0,1;0,03;0,164;0,16;4,36;0,37;3400000;249000;30/06/2024;17;19;18;12;14;188;Perfectionist;0,708;5,4;11,76;4,52;1,09444;0,45;6732
RW;End;30/11/2023;315109;Yes;BRA;1;CB;DM;63,2;0,0;75,6;75,3;D (C), DM, M (C);39;Felipe Melo;6,84;Fluminense;Brasileirão Assaí;Brazil;22;22;0;3;0;1498;0,684;7,81;12,035;0,0;0,0;0,0;3,6;62;0,72;1,68;1,2;4,21;8,238;0,9;0,54;5,71;0,25;49,57;84;3,34889;0,113;0,72;0,12;50;0,02;0,0;0,093;0,0;11,6;0,72;185000;97000;31/12/2023;17_20;11;17;9_13;7_11;185;;0,684;7,81;11,41;7,4;2,84889;0,11;1498
RW;End;30/11/2023;315180;No;BRA;1;GK;CB;62,4;0,0;72,5;72,4;GK;36;Marcelo Lomba;6,9;Palmeiras;Brasileirão Assaí;Brazil;1;1;0;0;0;90;0,13;0,0;0,0;0,44;0,0;1,0;0,0;0;0,0;0,0;0,0;0,0;0,5;0,0;0,0;0,0;0,0;14,0;50;2,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;2,0;76000;12500;31/12/2023;9_13;11;14;8_11;8_11;190;;0,13;0,0;0,0;0,0;2,0;0,0;90
EU;Mid;30/11/2023;316742;Yes;BRA;1;CB;LB;70,2;0,0;79,8;81,5;D (C);39;Dante;7,14;Nice;Ligue 1;France;92;92;2;4;10;4038;0,714;6,89;14,478;0,0;0,0;0,0;6,8;79;0,51;3,32;1,03;2,03;6,706;0,38;0,22;5,06;0,13;68,83;92;1,26222;0,357;0,04;0,04;20;0,06;0,02;0,107;0,13;5,24;0,4;800000;125000;30/06/2024;16_19;16;15;3_7;2_6;188;;0,714;6,89;13,69;5,79;1,06222;0,32;8076
RW;End;30/11/2023;316997;Yes;BRA;1;ST;AM;65,9;0,0;72,9;73,4;ST (C);40;Wellington Paulista;6,64;América (MG);Brasileirão Assaí;Brazil;16;6;1;0;0;591;0,664;2,9;11,28;0,0;0,0;0,0;7,92;46;0,0;0,46;0,0;2,44;2,657;0,76;0,3;0,76;0,03;19,8;81;3,95111;2,005;0,61;0,15;20;0,57;0,15;0,17;1,07;6,4;2,28;73000;19250;31/12/2023;15_18;9;12;9_13;9_13;183;;0,664;2,9;10,82;1,85;3,75111;1,96;591
RW;End;30/11/2023;319221;Yes;BRA;1;LB;CM;65,9;0,0;81,6;82,0;D (LC), WB (L);37;Filipe Luís;7,06;Flamengo;Brasileirão Assaí;Brazil;10;6;0;0;0;524;0,706;6,35;12,391;0,0;0,0;0,0;5,32;72;0,17;2,4;0,86;2,92;7,023;0,69;0,34;4,98;0,1;63,38;91;2,80556;0,0;0,69;0,0;0;0,0;0,0;0,0;0,0;8,24;1,2;180000;145000;31/12/2023;14_17;16;13;7_11;10_13;181;;0,706;6,35;11,67;6,11;2,80556;0,0;524
RW;End;30/11/2023;320556;No;BRA;1;GK;DM;60,4;0,0;68,2;68,7;GK;35;Danilo Fernandes;6,9;Bahia;Brasileirão Assaí;Brazil;1;1;0;0;0;90;1,75;0,0;0,0;0,06;1,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,357;0,0;0,0;0,0;0,0;10,0;36;1,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;1,0;37000;2700;31/12/2023;15_18;14;11;6_9;7_11;189;;1,75;0,0;0,0;0,0;1,0;0,0;90
RW;End;30/11/2023;320569;No;BRA;1;CM;RW;65,1;0,0;77,6;77,6;DM, M (RC), AM (RLC);35;Renato Augusto;7,06;Corinthians;Brasileirão Assaí;Brazil;24;21;5;4;1;1551;0,706;7,08;8,847;0,0;0,0;0,0;1,51;26;0,58;1,39;0,64;4,47;7,152;1,97;0,23;3,95;0,15;43,06;85;5,05522;1,446;1,39;0,41;33;0,19;0,29;0,105;0,7;10,1;1,8;750000;155000;31/12/2023;12_16;12;8;10_13;8_11;186;;0,706;7,08;8,59;6,3;4,72222;1,28;1551
EU;Mid;30/11/2023;653054;Yes;CRO;0;CM;DM;91,1;91,1;91,1;91,1;M/AM (C);37;Luka Modrić;7,27;Real Madrid;LaLiga;Spain;96;96;12;36;14;3416;0,727;7,24;8,71;0,0;0,0;0,0;1,21;26;0,45;1,42;0,21;5,16;9,821;2,0;0,69;5,66;0,65;50,82;82;4,21778;1,014;1,29;0,34;21;0,08;0,16;0,074;0,55;10,06;1,26;31000000;1395000;30/06/2024;17;19;15;12;13;172;Model Citizen;0,727;7,24;8,45;9,0;4,00778;0,86;6832
EU;Mid;30/11/2023;718272;Yes;POL;1;GK;CB;70,6;0,0;78,2;78,2;GK;38;Łukasz Fabiański;6,8;West Ham;Premier League;England;96;96;0;0;4;4080;0,11;0,0;0,0;0,11;0,38;1,06;0,0;0;0,0;0,0;0,0;0,0;0,59;0,02;0,0;0,0;0,0;15,26;57;0,2;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,2;575000;302000;30/06/2024;12_15;16;14;7_11;5_9;190;;0,11;0,0;0,0;0,02;0,2;0,0;8160
EU;Mid;30/11/2023;719601;Yes;POL;0;ST;AM;91,0;92,2;91,0;92,2;ST (C);34;Robert Lewandowski;7,38;Barcelona;LaLiga;Spain;116;116;72;10;18;5111;0,738;4,08;10,664;0,0;0,0;0,0;6,09;49;0,28;0,97;0,26;2,57;3,178;0,93;0,25;1,06;0,09;23,26;85;5,84667;4,056;1,48;0,11;30;0,55;0,63;0,11;2,64;7,08;3,17;348000000;1496000;30/06/2025;20;16;20;14;14;185;Driven;0,738;4,08;10,17;2,33;5,54667;3,93;10222
EU;Mid;30/11/2023;727458;Yes;POR;1;CB;RB;66,4;0,0;73,1;73,2;D (C);36;Vasco Fernandes;6,76;Casa Pia;Liga bwin;Portugal;72;72;2;2;0;3106;0,676;6,43;14,146;0,0;0,0;0,0;7,01;71;0,84;2,55;1,48;1,56;4,936;0,38;0,17;3,56;0,02;50,68;81;1,87;0,376;0,26;0,06;50;0,06;0,03;0,134;0,09;5,04;0,49;140000;7500;30/06/2024;15;13;14;12;11_15;182;;0,676;6,43;13,44;4,13;1,37;0,31;6212
EU;Mid;30/11/2023;742448;Yes;POR;1;CB;DM;71,7;0,0;78,9;78,7;D (C);39;José Fonte;7,15;Braga;Liga bwin;Portugal;94;94;0;4;4;3864;0,715;5,83;13,696;0,0;0,0;0,0;7,06;81;0,54;2,98;0,77;1,54;5,909;0,26;0,09;4,59;0,04;69,48;93;1,17556;0,279;0,14;0,02;20;0,05;0,0;0,159;0,07;4,64;0,3;1000000;39000;30/06/2024;13;12;16;9;8_11;191;;0,715;5,83;12,89;4,98;0,97556;0,28;7728
EU;Mid;30/11/2023;744539;Yes;POR;1;DM;CM;79,2;0,0;85,3;85,3;DM, M/AM (C);36;João Moutinho;7,26;Braga;Liga bwin;Portugal;90;90;4;24;6;3660;0,726;7,55;8,111;0,0;0,0;0,0;0,44;12;0,37;1,92;0,37;4,89;9,2;1,99;0,57;5,48;0,3;52,7;86;3,58556;0,633;1,01;0,2;19;0,12;0,05;0,101;0,32;10,13;1,06;5500000;41000;30/06/2024;16;15;17;9;10;170;Spirited;0,726;7,55;7,99;8,34;3,39556;0,59;7320
EU;Mid;30/11/2023;744635;Yes;ANG;1;GK;CB;66,5;0,0;72,0;72,6;GK;36;Ricardo Batista;6,71;Casa Pia;Liga bwin;Portugal;80;80;0;0;12;3240;0,181;0,0;0,0;0,26;0,36;1,11;0,0;0;0,0;0,0;0,0;0,0;0,6;0,03;0,0;0,0;0,0;16,08;57;0,5;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,5;348000000;8000;30/06/2025;13_16;13;12;8_11;9_13;193;;0,181;0,0;0,0;0,03;0,5;0,0;6480
EU;Mid;30/11/2023;778087;No;JPN;1;CB;DM;65,5;0,0;76,4;76,0;D (C), DM, M (C);39;Makoto Hasebe;6,85;Frankfurt;Bundesliga;Germany;50;30;0;0;2;1468;0,685;5,89;11,723;0,0;0,0;0,0;5,15;68;0,49;2,33;0,86;2,21;5,284;0,18;0,12;3,99;0,06;67,32;93;1,46422;0,195;0,18;0,12;18;0,03;0,0;0,105;0,06;4,97;0,43;500000;85000;30/06/2024;14;17;11;8_11;10_14;180;;0,685;5,89;11,04;4,35;1,28222;0,19;2936
EU;Mid;30/11/2023;830119;Yes;ITA;1;GK;CB;55,1;0,0;70,6;72,3;GK;39;Antonio Mirante;6,45;Milan;Serie A;Italy;6;2;0;0;0;167;1,705;0,0;0,0;0,52;1,08;0,54;0,0;0;0,0;0,0;0,0;0,0;0,462;0,0;0,0;0,0;0,0;12,93;46;0,0;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,0;56000;108000;30/06/2024;0;17;8;3_9;10_14;193;;1,705;0,0;0,0;0,0;0,0;0,0;334
EU;Mid;30/11/2023;837889;Yes;ITA;1;ST;CB;48,5;0,0;73,4;73,0;ST (C);37;Daniel Ciofani;6,65;Cremonese;Serie A;Italy;70;44;16;0;2;1690;0,665;4,09;12,202;0,0;0,0;0,0;7,67;44;0,21;0,85;0,21;2,82;1,898;0,48;0,05;0,48;0,08;18,8;81;3,451;2,413;0,75;0,05;11;0,3;0,43;0,1;1,44;7,56;1,7;105000;63500;30/06/2024;11_16;12;12;3_11;9_15;191;;0,665;4,09;11,76;1,09;3,34;2,27;3380
EU;Mid;30/11/2023;859209;Yes;NED;1;GK;DM;64,7;0,0;75,3;74,9;GK;39;Remko Pasveer;6,56;Ajax;Eredivisie;Netherlands;34;34;0;0;2;1502;-0,334;0,0;0,0;0,03;0,3;1,32;0,0;0;0,0;0,0;0,0;0,0;0,79;0,0;0,0;0,0;0,0;20,91;79;0,42;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,42;325000;52000;30/06/2024;14_17;15;13;7_11;5_9;187;;-0,334;0,0;0,0;0,0;0,42;0,0;3004
EU;Mid;30/11/2023;859549;Yes;NED;1;GK;CB;59,2;0,0;69,5;69,3;GK;34;Erwin Mulder;6,88;Go Ahead Eagles;Eredivisie;Netherlands;70;70;0;0;10;3093;0,768;0,0;0,0;0,46;0,49;0,87;0,0;0;0,0;0,0;0,0;0,0;0,568;0,0;0,0;0,0;0,0;15,83;57;0,23;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,23;475000;13000;30/06/2024;11_15;14;10;5_8;5_8;194;;0,768;0,0;0,0;0,0;0,23;0,0;6186
EU;Mid;30/11/2023;860472;Yes;CUW;1;GK;CB;62,0;0,0;70,9;71,1;GK;34;Eloy Room;6,44;Vitesse;Eredivisie;Netherlands;76;76;0;0;2;3312;-0,736;0,0;0,0;-0,21;0,19;1,36;0,0;0;0,0;0,0;0,0;0,0;0,62;0,03;0,0;0,0;0,0;15,79;59;0,82;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,82;348000000;21500;30/06/2025;5_9;8;16;8_11;10_13;191;;-0,736;0,0;0,0;0,03;0,82;0,0;6624
EU;Mid;30/11/2023;860481;Yes;NED;1;ST;RW;66,0;0,0;72,4;72,2;ST (C);34;Ricky van Wolfswinkel;6,76;Twente;Eredivisie;Netherlands;96;90;28;6;4;3765;0,676;3,6;7,771;0,0;0,0;0,0;3,9;27;0,14;0,6;0,33;2,53;2,148;0,55;0,07;0,65;0,05;20,39;83;4,37656;2,626;0,79;0,12;16;0,45;0,33;0,113;1,65;5,9;2,65;550000;17250;30/06/2024;11_15;11;14;11_14;10_13;186;;0,676;3,6;7,5;1,32;4,21556;2,54;7530
EU;Mid;30/11/2023;860972;Yes;NED;1;DM;CM;58,6;0,0;71,5;71,5;DM, M/AM (C);35;Jonathan de Guzmán;6,68;Sparta Rotterdam;Eredivisie;Netherlands;56;8;0;0;0;666;0,668;5,27;8,236;0,0;0,0;0,0;2,57;40;0,14;0,81;0,27;4,05;7,734;2,03;0,54;4,19;0,14;37,97;83;4,10811;0,217;0,68;1,08;13;0,02;0,0;0,057;0,14;7,84;1,35;67000;17250;30/06/2024;10_13;14;16;9_13;8_12;173;;0,668;5,27;7,84;6,9;3,98111;0,22;1332
EU;Mid;30/11/2023;861948;Yes;NED;1;AM;ST;63,3;0,0;68,1;68,2;AM (C), ST (C);34;Robert Mühren;6,69;Volendam;Eredivisie;Netherlands;68;68;8;2;0;2864;0,669;7,08;9,958;0,0;0,0;0,0;2,58;30;0,38;1,35;0,38;4,97;3,686;1,13;0,06;1,6;0,08;26,4;82;4,08633;1,205;1,19;0,09;14;0,19;0,13;0,1;0,72;9,3;1,63;175000;26000;30/06/2024;11_15;10;14;11_14;10_13;187;;0,669;7,08;9,66;2,87;3,94333;1,14;5728
EU;Mid;30/11/2023;864168;Yes;NED;1;LB;DM;62,8;0,0;75,5;78,6;D/WB (L);32;Patrick van Aanholt;6,46;PSV;Eredivisie;Netherlands;16;0;0;0;0;208;0,646;8,22;13,217;0,0;0,0;0,0;4,33;67;1,3;2,16;0,43;4,33;6,866;0,0;0,0;6,06;0,0;43,27;81;6,05967;0,4;0,87;0,87;33;0,12;0,0;0,28;0,0;16,44;2,16;2200000;198000;30/06/2024;3_7;12;15;13_16;13_16;175;;0,646;8,22;12,55;6,06;5,72667;0,4;416
EU;Mid;30/11/2023;919962;Yes;FRA;1;LB;DM;63,9;0,0;76,2;76,0;DM, M (C);36;Thomas Mangani;6,87;Ajaccio;Ligue 1;France;70;70;2;6;6;2916;0,687;8,39;12,378;0,0;0,0;0,0;3,49;50;0,74;1,79;0,77;5,09;4,156;0,59;0,12;2,56;0,04;40,15;85;3,64378;0,445;1,08;0,62;14;0,05;0,03;0,092;0,22;9,88;0,71;375000;29000;30/06/2024;14_17;13;12;11_15;9_13;183;;0,687;8,39;11,88;3,31;3,50778;0,39;5832
EU;Mid;30/11/2023;919964;Yes;FRA;1;GK;CB;45,3;0,0;73,8;73,5;GK;35;Benoît Costil;6,77;Salernitana;Serie A;Italy;32;30;0;0;2;1411;-0,093;0,0;0,0;-0,01;0,32;1,08;0,0;0;0,0;0,0;0,0;0,0;0,637;0,06;0,0;0,0;0,0;16,78;58;0,7;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,7;105000;123000;30/06/2024;0;12;12;0;0;187;;-0,093;0,0;0,0;0,06;0,7;0,0;2822
EU;Mid;30/11/2023;929798;Yes;DEN;1;DM;CM;61,1;0,0;76,9;76,9;DM, M/AM (C);37;Lasse Schöne;6,9;NEC Nijmegen;Eredivisie;Netherlands;72;70;4;6;6;2331;0,69;7,53;9,648;0,0;0,0;0,0;1,85;27;0,62;1,74;0,73;4,44;7,598;1,43;0,5;4,59;0,24;40,5;84;5,115;0,477;0,85;1,89;21;0,02;0,08;0,057;0,12;8,73;1,2;400000;17250;30/06/2024;14_18;15;13;7_10;6_9;177;;0,69;7,53;9,38;6,76;4,91;0,28;4662
EU;Mid;30/11/2023;947424;Yes;DEN;1;CB;DM;65,6;0,0;81,1;80,7;D (C);34;Simon Kjær;7,0;Milan;Serie A;Italy;22;14;0;2;4;709;0,7;6,34;14,008;0,0;0,0;0,0;6,85;82;0,38;2,54;1,14;2,28;6,028;0,38;0,0;4,7;0,01;67,79;94;0,81444;0,07;0,0;0,0;0;0,01;0,0;0,06;0,0;5,08;0,25;2400000;160000;30/06/2024;18_20;19;18;9_13;8_12;190;;0,7;6,34;13,19;5,09;0,81444;0,07;1418
RW;End;30/11/2023;950224;Yes;ARG;1;GK;CB;65,3;0,0;73,3;73,4;GK;39;Mariano Andújar;6,97;Estudiantes (LP);Liga Profesional;Argentina;20;20;0;0;2;1800;0,327;0,0;0,0;0,08;0,4;0,85;0,0;0;0,0;0,0;0,0;0,0;0,624;0,1;0,0;0,0;0,0;14,9;52;0,3;0,0;0,0;0,0;0;0,0;0,0;0,0;0,0;0,0;0,3;130000;95500;31/12/2023;14_17;16;14;6_9;7_11;194;;0,327;0,0;0,0;0,1;0,3;0,0;1800
EU;Mid;30/11/2023;950975;No;COL;1;ST;DM;74,3;0,0;76,9;76,6;ST (C);37;Radamel Falcao;6,77;Rayo Vallecano;LaLiga;Spain;60;10;8;6;0;843;0,677;2,88;7,362;0,0;0,0;0,0;4,16;32;0,21;0,53;0,11;2,03;3,343;1,07;0,21;1,07;0,13;20,93;86;5,45667;2,71;0,75;0,11;50;0,35;0,43;0,099;1,71;6,09;3,42;750000;93500;30/06/2024;15_19;15;18;9;9;177;;0,677;2,88;7,04;2,48;4,95667;2,59;1686
RW;End;30/11/2023;955277;Yes;ARG;1;ST;LW;63,8;0,0;73,4;73,9;ST (C);40;Lisandro López;6,62;Sarmiento (Junín);Liga Profesional;Argentina;10;1;2;1;1;198;0,662;2,27;5,676;0,0;0,0;0,0;3,18;23;0,0;0,0;0,0;2,27;2,314;0,91;0,0;0,45;0,15;20,45;80;3,83667;4,765;0,0;0,0;0;0,43;0,91;0,078;3,18;5,91;3,18;98000;30000;31/12/2023;13_17;16;15;9;7_10;174;;0,662;2,27;5,45;1,51;3,83667;4,6;198
